TBI (n),HC (n),WITHIN NETWORK FINDINGS,RESULT,TBI Class,Severity,Age,Chronicity,Comp Type,Control Type,Scanner,Eyes Open/Closed/Fixated,Scanning parameters (TR),OLD TIME OF SCAN,Duration of scan (s),# of volumes,Preprocessing Software,Global signal regression,Motion regression,White matter regression,CSF regression,,,,,,,,,,,,
25,21,"Dretsch (2019), AL&GA,USA",Decreased FC in DMN for right dmPFC and left medial temporal lobe,MILITARY Active U.S. Army soldiers,Mild,"ADULT n=21, range 18-50",Chronic,CSX,HC healthy controls n=21,Siemens 3T MAGNETOM Verio,fixated,600 ms,2100 volumes,unfound,2100,DPARSF,no,yes,yes,yes,"Eyes open fixated ahead, TE=600ms, TR=30ms","Standard resting-state functional magnetic resonance imaging (fMRI) pre-processing steps were carried out, including realignment, normalization to Montreal Neurological Institute space, and detrending and regressing covariates.",Data Processing Assistant for RestingState fMRI (DPARSF v1.7) and MATLAB,Functional connectivity,ROItotROI,58 regions specified,The mTBI + PTS group showed significantly less connectivity only between the right  dorsomedial prefrontal cortex and the left medial temproral lobe,,"PTS with and without mTBI is associated with less stable and disrupted neural signature during rs. While there were no significant differences in the default mode network connectivity strength the mTBI+PTS and PTS groups, they were able to be distonguished by vDFC.",variability of connectivity (vDFC),,
7,11,"Militana (2016) Tennessee, USA","Increased FC in DMN, including left and right hippocampus, precuneus, and ventromedial PFC. Averaged across all DMN pairs studied, trend of increased FC.",SPORTS College varsity athletes (SRC),Mild,"ADULT  n = 7, age = 19.7 ± 1.2, 3 Female",Acute (3-6 days),CSX,HC healthy controls) n = 11,Philips 3T,closed,2000 ms,600 s,600,300,SPM8,no,yes,yes,no,10 mins; eyes closed,images were corrected for slice timing effects and motion,SPM8,connectivity,ROI,"18 ROI from 3 networks: DMN, DAN, FPC; Hypercapnia challenge for CVR","Increased cerebrovascular reactivity (CVR) for concussed athletes, Increased FC between regions of DMN in concussed athletes, and CVR increase in HC is positively correlated with FC increase between HC and Precuneus in concussed athletes (but not controls)",NA,This study provides evidence for increased cerebrovascular reactivity and functional connectivity in the medial regions of the default-mode network within days of a single sports related concussion in college athletes.,,,
49,20,"van der Horn (2017) #2 Groningen, Netherlands",No diff in CSX group after MCC as compared to HC at time point 1  (DMN),"MIXED first time TBI, uncomplicated mTBI of various injury methods (including sport)",Mild,"ADULT PTC) n= 30 -> CBT) n = 13 agemed: 27 range: 19-54 54%M TC) n= 17 Age: 36 (21-61) 53%M , no PTC) n = 19, 30(20-62), 90%M",Subacute (1 mo),CSX + Long,"HC healthy controls) n = 20, age = 30(18-61), 70%male",,closed,2000 ms,600 s,600,300,SPM12,unfound,unfound,unfound,unfound,,,,DMN connectivity,,"Default, executive, salience",,Post-traumatic complaints) mTBI group: Increased FC b/t anterior/posterior default mode network @ 1mo -> worse symptoms @ 3 mo,,,,
,,,No diff in CSX group after MCC as compaqred to HC at time point 2 (DMN),,,,Chronic (3 mo),,,,,,,,,,,,,,,,,,,,,,,,,
15,12,"Nathan (2015) Bethesda, MD USA",Increase DMN FC left and right posterior cingulate and temporal regions,MILITARY Active duty military mTBI,Mild,"ADULT n=15, age=25.6+-4.4, all males",Subacute/Chronic (avg 147.21+-87.19 days post injury) -- only 1 Time point,CSX,"HC healthy controls) n=12, age=26.4+-5.8, male=9","3 T GE Healthcare, 32 channel",closed,2000 ms,360 s,360,180,"AFNI, FSL",unfound,unfound,unfound,unfound,"6 min, eyes closed",3D volume registrations to correct head movement using the middle volume of the RS series. Interpolation to correct slice time acquisition differences. first 3 time points discarded to account for magnetization steady state,"AFNI, FSL package, MELODIC tool",FC,ICA,DMN,"mTBI subjects had decrease in DMN connectivity within regions of the left inferior temporal gyrus, right precentral gyrus and left caudate. significant decrease in connectivity within the right inferior parietal lobule in the DMN network of the mTBI subjects. compared to control, mTBI group exhibited increased resting state spatial connectivity within the DMN in which there were several significant clusters in the left and right posterior cinculate, and temporal regions. Left cerebellum lobule VII and the right supplementary motor area in the mTBI group had sig higher connectivity.","GOF analysis, ANOVA failed to show a significant difference btwn mTBI and control.
clinical neuropsych assessments: DMN connectivity maps of mTBI subjects in cerebellar and cortical regions correlated with neuropsych testing. ",,,,
,,,"Decrease DMN connectivity left inferior temporal gyrus, right precentral gyrus, and left caudate",,,,Subacute/Chronic,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Decrease DMN FC right inferior parietal lobule,,,,Subacute/Chronic,,,,,,,,,,,,,,,,,,,,,,,,,
17,16,"Threlkeld (2018) Boston, MA",Decreased FC within the DMN (reported as increased anticorrelation though),"CIVILIAN ""We prospectively enrolled 17 patients with acute traumatic coma admitted to the ICU at an academic institution.""",Severe,"ADULT n = 17 ( 29±9 years, 12 male) + only n = 8 for long study",Acute/Subacute (9.2 +/-4.6 days),CSX + Long,"HC n = 16 (29±8 years, 12 male)",3 Tesla Skyra MRI scanner (Siemens Medical Solutions),closed,2400 ms,432 s,432,180,CONN,no,yes,yes,yes,"7m 12s, eyes closed (note: chosen because some patients in coma)","Preprocessing included slice-timing correction, realignment, structural segmentation, normalization into Montreal Neurological Institute (MNI-152) space, and smoothing with a 6 mm full-width at half-maximum Gaussian kernel ""The artifact rejection tool (ART) was used to reject outliers satisfying at least one of the following thresholds: normalized global BOLD signal Z ≥ 3.0, absolute subject motion ≥ 0.5 mm, absolute subject rotation ≥ 0.05 radians, scan-to-scan motion ≥ 1.0 mm, and scan-to-scan rotation ≥ 0.02 radians."" ""For denoising, we used CSF and white matter principal components as nuisance covariates in accordance with the anatomical component-based noise correction method (aCompCor) (Behzadi, Restom, Liau, & Liu, 2007; Muschelli et al., 2014). After denoising, we isolated low-frequency fluctuations with a low-pass temporal filter (0.0080.09Hz).""",CONN toolbox,connectivity,"seed-based ( four 10-mm diameter spherical seeds: one in the medial prefrontal cortex (MPFC), one in the posterior cingulate cortex (PCC), and one in each of the left and right lateral parietal cortices (LP).)","DMN  + (Atlas not specified, but paper referenced ""Consistent with established DMN nodes (Raichle, 2011),"")","@ acute stage, DMN inter-network anticorrelations were absent acutely in both the conscious and unconscious patient groups. "" DMN intra-network correlations were absent in unconscious patients (coma/UWS) but partially intact in conscious patients (MCS/PTCS)"".  @ 6 months  ""At the time of follow-up, all patients had recovered from DoC, as indicated by CAP scores, and all had DMN correlations and anticorrelations indistinguishable from those in healthy subjects (Fig. 2). Seven patients demonstrated longitudinal increases in magnitude of correlations and anticorrelations.""","Various disorders of consciousness. @ acute) ""Compared with unconscious patients, conscious patients had significantly stronger DMN connectivity in the PCC and MPFC (Fig. 2 and ​and3),3), and connectivity in these clusters was associated with the CRS-R total score (Supplementary Fig. 3; ρ=0.88).""","Collectively, these findings suggest that recovery of consciousness after acute severe TBI is associated with partial preservation of DMN correlations in the ICU, followed by long-term normalization of DMN correlations and anticorrelations.",,,
,,,No signficant difference in DMN connectivity at 6 mo follow-up compared to HC,,,,Chronic (6 mo),,,,,,,,,,,,,,,,,,,,,,,,,
54,20,"van der Horn (2016) Groningen, Netherlands",No significant difference within DMN,CIVILIAN recruited from ED,Mild,ADULT n = 54 (36 male; mean age 37 ±15 years 34 with complaints),Subacute (4 weeks),CSX,"HC n = 20, age sex and ed matched","3.0 T Philips Intera MRI (Phillips Medical Systems, Best, The Nether-lands)",closed,2000 ms,unfound,unfound,unfound,SPM12,unfound,unfound,unfound,unfound,"closed eyes, ""Three-hundred vol-umes were acquired with slices aligned in the anteriorcommisure  (AC)–posterior  commisure  (PC)  plane  andrecorded in descending order (TR 2,000 ms; TE 20 ms;FOV 224 mm3224mm; voxel size 3.5 mm33.62 mm33.5 mm)""","Slice timing, head motion, T1-co registration, normalized using diffeomorphic nonlinear registration tool (DARTEL), smoothing with 8mm full-width half max Gauss. kernel",SPM12,FC (static and dynamic),ROItoROI?,"DMN, Executive (frontoparietal and bilateral frontal network), Salience",No differences in within-network functional connectivity between groups.,"Post-traumatic complaints, anxiety, depression. Patients with post-traumatic complains had reduced functional conn between bilateral frontal and salience network compared to TBI patients without complaints. Higher HADS-D (depression) scores were related to lower FC between bilateral frontal network and right frontoparietal + salience networks. High HADS-D also associated with reduced FC between right frontoparietal and salience network. Higher HADS-A (anxiety) scores associated with lower conn within ""medial prefrontal areas of bilateral frontal network"".",,,,
28,28,"Sours (2015) Baltimore, MD",rsfMRI Voxel Based: No signficant difference within DMN at acute stage,CIVILIAN Trauma Center patients,All,"ADULT n = 28, age = 38.9 +- 15.9 , 18M (split into PCS versus no PCS in Table 1 for a separate chronic stage CSX analysis)",Acute (6+/-3),CSX + Long,"HC n = 28, age = 39.3 +_ 17.2 years (16M)",Siemens Tim-Trio 3T MRI scanner using a 12 channel receive only head coil,closed,2000 ms,343 s,343,171.5,SPM8,no,yes,yes,yes,"3m 57s, eyes closed","Motion correction, slice timing correction, band pass filtering, registration of all 171 volumes to 1st volume of the time series",SPM 8,connectivity,ROI to ROI and voxel-based,"DMN, TPN","Iincreased rs- functional connectivity between DMN and SN, and Task Positive Network  (TPN)","Test performance, global life satisfaction",,Long findings only significant for CBF (DTI),,
,,,rsfMRI Voxel Based: No signficant difference within DMN at subacute stage,,,,Subacute (36 +/-13),,,,,,,,,,,,,,,,,,,,,,,,,
,,,rsfMRI Voxel Based: Decreased FC within DMN from PCC node to left supramarginal gyrus and dPCC),,,,Chronic (198+/-26),,,,,,,,,,,,,,,,,,,,,,,,,
,,,rsfMRI ROI Based: Decreased FC within DMN in the acute stage,,,,Acute (6+/-3),,,,,,,,,,,,,,,,,,,,,,,,,
,,,rsfMRI ROI Based: No significant difference within DMN at the subacute stage,,,,Subacute (36 +/-13),,,,,,,,,,,,,,,,,,,,,,,,,
,,,rsfMRI ROI Based: No significant difference within DMN at the chronic stage,,,,Chronic (198+/-26),,,,,,,,,,,,,,,,,,,,,,,,,
32,31,"Sours (2015) #2 Baltimore, MD","In PCS- patients, increased DMN FC compared to controls at acute timepoint",CIVILIAN patients wi/ GCS 13-15,Mild,"ADULT n = 32, age = 41.7 +- 17.1 years (21M)",Acute/Subacute (1-11 days),CSX + Long,"HC n = 31, age = 37.3 +-17.1 years (17M)",Siemens Tim Trio 3T MRI scanner using a 12-channel receive-only head coil,closed,2000 ms,342 s,342,171,AFNI,yes,yes,no,no,"5m 42s, eyes closed","pre) Slice timing correction, registration of 171 volumes to 1st of time series, spatial blurring w/ 6mm Guassian kernel, normalized to percent signal change, 6 motion correction parameters and global signal from mean BOLD time series used as regressors + post) Wavelet Methods for Time Series Analysis (WMTSA) using MATLAB",AFNI + MATLAB,Connectivity strength @ various frequencies,ROI to ROI,DMN,,,,,,
,,,"In PCS- patients, Increased DMN FC compared to controls at chronic timepoint",,,,Chronic (137-300 days),,,,,,,,,,,,,,,,,,,,,,,,,
,,,Null within DMN - SF2 (acute),,,,Acute/Subacute (1-11 days),,,,,,,,,,,,,,,,,,,,,,,,,
,,,Null within DMN - SF3 (acute),,,,Acute/Subacute (1-11 days),,,,,,,,,,,,,,,,,,,,,,,,,
,,,Null within DMN - SF4 (acute),,,,Acute/Subacute (1-11 days),,,,,,,,,,,,,,,,,,,,,,,,,
,,,Null within DMN - SF2 (chronic),,,,Chronic (137-300 days),,,,,,,,,,,,,,,,,,,,,,,,,
,,,Null within DMN - SF3 (chronic),,,,Chronic (137-300 days),,,,,,,,,,,,,,,,,,,,,,,,,
,,,Null within DMN - SF4 (chronic),,,,Chronic (137-300 days),,,,,,,,,,,,,,,,,,,,,,,,,
43,34,"Shumskaya (2016) (Radboud, Netherlands)",Increased conn in posterior DMN. (clusters of stronger connectivity found in posterior cingulate gyri L),"CIVILIAN GCS (Glasgow Coma Scale) <=12, moderate to severe",Moderate/Severe,"ADULT range 18-65 years... n = 47, (14.9; 19–65) years, 58%M",Chronic ( > 1 year),CSX,"HC n = 34, matched, 44.9 (12.9; 18–63) years, 59%M",32-channel head coil,open,2000 ms,800 volumes,unfound,800,FSL,no,yes,yes,yes,"1 hour, eyes open in the dark","WM and CSF signals removed, 6 motion parameters corrected for, High-pass temporal filter",,FC based on temporal BOLD correlation,Group ICA using MELODIC,"Ten independent components (ICs) were selected as corresponding to major RSNs. These included three visual, two sensorimotor, auditory, posterior part of the default-mode network (DMN), executive control, right and left frontoparietal networks. Furthermore, we selected five additional ICs that resembled RSNs, but did not show high correlation with the previously reported networks (Smith et al. 2009). These were the anterior part of the DMN, two cerebellar, frontal pole, and thalamus networks. ","We found increased connectivity in sensorimotor, visual, default mode (DMN), executive, and cerebellar RSNs after TBI. ""Attention impairments in TBI were associated with increased connectivity in the sensorimotor network."" ""We report stronger FC during resting state in chronic moderate/severe TBI patients in a number of RSNs: sensorimotor, DMN, visual, executive control, and cerebellar RSNs. """,Attention deficit + language,,,,
35,35,"Shumskaya (2012) Nijmegen, Netherlands",No Significant diff in DMN FC DMN,CIVILIAN ED patients with mTBI (GCS 13-15),Mild,"ADULT n = 35, mean age = 39 (18-60), Male = 22",Acute/Subacute (2-28 days),CSX,HC n = 35,Siemens 3T Trio,closed,1350 ms,360 s,360,266.6666667,FMRIB,unfound,unfound,unfound,unfound,6 mins; eyes closed,"head motion correction, extraction of nonbrain tissue, spatial smoothing using a Gaussian kernel of 5-mm fullwidth at half-maximum, grand-mean intensity normalization of the entire dataset by a single multiplicative factor, and high-pass temporal filtering",FMRIB Software Library,connectivity,ICA,"16 networks from ICA incl. DMN, DAN, frontoparietal, executive function network, auditory network, sensorimotor cortex, visual cortex",,,,,,
27,30,"Stevens (2012) Hartford, CT",Increased FC in left precuneus/cingulate gyrus,CIVILIAN ER patients,Mild,"MIXED n =  30, 2/3 M, mean age = 31.7 (13.94)",Subacute/Chronic (13-136 days),CSX,"HC n = 30, age =  28.9 (9.92); 67 % male, age matched",Siemens Allegra 3T,fixated,1500 ms,315 s,315,210,SPM8,unfound,unfound,unfound,unfound,"open, fixed gaze, 5:15 min","Rotational/Translational Correction + head cushion to prevent movement,  INRIAlign for realignment, normalization,  smoothed with an 8 mm FWHM Gaussian filter, data were reduced through two principal component analysis (PCA) data reduction stages",GIFT v1.3i toolbox implemented in Matlab,connectivity,"Group ICA, novel ""multivariate"" technique","Ventromedial Cortex Network, Visual, Limbic, Cinguloopercular, motor/task, frontoparietal, DMN, working memory left frontoparietal, frontostriatal, Secondary visual processing","mTBI patients demonstragte significant differences in all  15  ICA components/networks compsared to controls. (Fig  2)Furthermore,  differences in all 15 networks correlated w/  worse  PCS symptoms. (Fig 3)",Post-concussive syndrome complaints,,"Pretty extensive findings, seems broad/overzealous. Might serve however as an excellent baseline study for forming more specific hypotheses.",,
,,,Decreased FC in right Posterior Cingulate Gyrus,,,,Subacute/Chronic (13-136 days),,,,,,,,,,,,,,,,,,,,,,,,,
48,48,Mayer (2015),No significant diff DMN,CIVILIAN Recruited from local ERs,Mild,"ADULT n = 48 (23 male, 28.3 ± 9.5 years)",Subacute (14+/-5.3 days),CSX,"HC n = 48 (23 male, 27.9 ±9.6  years)",3 Tesla Siemens Trio scanner.,unfound,2000 ms,300 s,300,150,custom,no,yes,no,no,"5 min, eyes unspecified","despiking, temoporal interpolation, motion-correction in both 2D and 3D, spatial blurring with 6mm Guassian FWHM kernel, normaliztion to MNI space w/ non0linear algorithm. ICA decomposition repeated 20x.",mix of freeware and commercial packages,Dynamic + Static FC,Static and Dynamic both:) ROItoROI (network pairs),DMN + sub-cortical structures,"Reduced static conn in DMN (b/t anterior and posterior nodes of DMN) for mTBI patients (before MC correction, p< 0.005), decreased dynamic conn in patients across all ICN from ""spatially invariant analyses"" (DisCo-). Overall, no reliable differences.","Patients also underwent clinical battery, mTBI had significantly lower premorbid intellectually functioning performance",,,,
